section_id,from_station,to_station,hour_of_day,trains_count,traffic_level
AABH-ATNR,AABH,ATNR,7,1,LOW
AABH-ATNR,AABH,ATNR,9,1,LOW
AABH-ATNR,AABH,ATNR,19,2,LOW
AABH-DGA,AABH,DGA,7,1,LOW
AABH-DGA,AABH,DGA,9,1,LOW
AABH-DGA,AABH,DGA,19,2,LOW
AADR-CHTL,AADR,CHTL,6,1,LOW
AADR-CHTL,AADR,CHTL,8,1,LOW
AADR-CHTL,AADR,CHTL,9,1,LOW
AADR-CHTL,AADR,CHTL,12,1,LOW
AADR-CHTL,AADR,CHTL,13,1,LOW
AADR-CHTL,AADR,CHTL,18,1,LOW
AADR-CHTL,AADR,CHTL,19,1,LOW
AADR-CHTL,AADR,CHTL,20,1,LOW
AAG-MKPT,AAG,MKPT,6,1,LOW
AAG-MKPT,AAG,MKPT,12,1,LOW
AAG-MKPT,AAG,MKPT,13,1,LOW
AAG-MKPT,AAG,MKPT,23,1,LOW
AAG-WKA,AAG,WKA,6,1,LOW
AAG-WKA,AAG,WKA,12,1,LOW
AAG-WKA,AAG,WKA,13,1,LOW
AAG-WKA,AAG,WKA,23,1,LOW
AAH-AXK,AAH,AXK,8,1,LOW
AAH-AXK,AAH,AXK,10,1,LOW
AAH-AXK,AAH,AXK,13,1,LOW
AAH-AXK,AAH,AXK,16,1,LOW
AAH-AXK,AAH,AXK,18,1,LOW
AAH-AXK,AAH,AXK,19,1,LOW
AAH-BIX,AAH,BIX,8,1,LOW
AAH-BIX,AAH,BIX,9,1,LOW
AAH-BIX,AAH,BIX,14,1,LOW
AAH-BIX,AAH,BIX,16,1,LOW
AAH-BIX,AAH,BIX,18,2,LOW
AAL-APR,AAL,APR,0,2,LOW
AAL-APR,AAL,APR,1,1,LOW
AAL-APR,AAL,APR,2,2,LOW
AAL-APR,AAL,APR,5,1,LOW
AAL-APR,AAL,APR,6,1,LOW
AAL-APR,AAL,APR,7,1,LOW
AAL-APR,AAL,APR,9,1,LOW
AAL-APR,AAL,APR,10,1,LOW
AAL-APR,AAL,APR,11,1,LOW
AAL-APR,AAL,APR,12,2,LOW
AAL-APR,AAL,APR,14,2,LOW
AAL-APR,AAL,APR,16,1,LOW
AAL-APR,AAL,APR,18,3,MEDIUM
AAL-APR,AAL,APR,20,1,LOW
AAL-APR,AAL,APR,21,1,LOW
AAL-APR,AAL,APR,22,2,LOW
AAL-APR,AAL,APR,23,1,LOW
AAL-BUH,AAL,BUH,0,1,LOW
AAL-BUH,AAL,BUH,1,2,LOW
AAL-BUH,AAL,BUH,2,1,LOW
AAL-BUH,AAL,BUH,5,1,LOW
AAL-BUH,AAL,BUH,6,1,LOW
AAL-BUH,AAL,BUH,7,1,LOW
AAL-BUH,AAL,BUH,9,2,LOW
AAL-BUH,AAL,BUH,11,1,LOW
AAL-BUH,AAL,BUH,12,1,LOW
AAL-BUH,AAL,BUH,13,1,LOW
AAL-BUH,AAL,BUH,14,2,LOW
AAL-BUH,AAL,BUH,16,1,LOW
AAL-BUH,AAL,BUH,18,3,MEDIUM
AAL-BUH,AAL,BUH,20,1,LOW
AAL-BUH,AAL,BUH,21,1,LOW
AAL-BUH,AAL,BUH,22,2,LOW
AAL-BUH,AAL,BUH,23,2,LOW
AAM-CQA,AAM,CQA,6,1,LOW
AAM-CQA,AAM,CQA,7,2,LOW
AAM-CQA,AAM,CQA,9,2,LOW
AAM-CQA,AAM,CQA,11,1,LOW
AAM-CQA,AAM,CQA,12,1,LOW
AAM-CQA,AAM,CQA,15,2,LOW
AAM-CQA,AAM,CQA,17,2,LOW
AAM-CQA,AAM,CQA,19,1,LOW
AAM-CQA,AAM,CQA,20,1,LOW
AAM-CQA,AAM,CQA,21,1,LOW
AAM-PKQ,AAM,PKQ,6,1,LOW
AAM-PKQ,AAM,PKQ,7,2,LOW
AAM-PKQ,AAM,PKQ,9,1,LOW
AAM-PKQ,AAM,PKQ,10,1,LOW
AAM-PKQ,AAM,PKQ,11,1,LOW
AAM-PKQ,AAM,PKQ,12,1,LOW
AAM-PKQ,AAM,PKQ,15,2,LOW
AAM-PKQ,AAM,PKQ,17,2,LOW
AAM-PKQ,AAM,PKQ,19,1,LOW
AAM-PKQ,AAM,PKQ,20,1,LOW
AAM-PKQ,AAM,PKQ,21,1,LOW
AAP-JJK,AAP,JJK,6,1,LOW
