block_id,section_id,date,day_of_week,month,is_weekend,maintenance_type,required_asset_type,priority,weather,start_hour,trains_count,traffic_level,assets_of_type_in_section,asset_type_availability_pct,had_availability_record,section_historical_overrun_rate,planned_duration_min,overrun_min,overrun_flag,actual_duration_min
B12744,ADI-MAN,2023-01-01,Sunday,1,1,Track Stabilization,Dynamic Track Stabilizer,Low,Clear,2,1.0,LOW,0.0,1.0,1,0.5806451612903226,184.3,24.7,1,209.0
B08950,AVD-PRES,2023-01-01,Sunday,1,1,Points Renewal,Rail Crane,Low,Light Rain,0,1.0,LOW,0.0,1.0,1,0.5526153846153846,158.2,37.3,1,195.4
B01285,BFZ-PSAE,2023-01-01,Sunday,1,1,Ballast Renewal,Ballast Regulator,Low,Light Rain,0,1.0,LOW,1.0,0.0,1,0.556697108066971,240.1,22.5,1,262.6
B08132,BMG-BT,2023-01-01,Sunday,1,1,Ballast Renewal,Ballast Regulator,Medium,Heavy Rain,1,0.0,LOW,0.0,0.0,1,0.5551903588058066,210.2,16.7,1,226.8
B03841,BSD-GURN,2023-01-01,Sunday,1,1,Ballast Renewal,Ballast Regulator,Low,Light Rain,3,0.0,LOW,0.0,0.0,1,0.554927126386774,221.8,0.2,0,222.0
B03149,DHAE-KWAE,2023-01-01,Sunday,1,1,Track Stabilization,Dynamic Track Stabilizer,Low,Light Rain,22,1.0,LOW,0.0,1.0,1,0.5523175131834582,128.2,27.6,1,155.7
B07424,GDY-SP,2023-01-01,Sunday,1,1,Points Renewal,Rail Crane,Medium,Heavy Rain,4,5.0,MEDIUM,0.0,1.0,1,0.5513955834547697,179.5,42.8,1,222.2
B08111,HYB-LKPL,2023-01-01,Sunday,1,1,Signal Maintenance,Tower Wagon,Low,Heavy Rain,1,0.0,LOW,0.0,1.0,1,0.5512872083668544,116.9,44.7,1,161.6
B09264,KOG-RIS,2023-01-01,Sunday,1,1,Signal Maintenance,Tower Wagon,Medium,Extreme Heat,0,1.0,LOW,0.0,1.0,1,0.552047404262846,99.4,16.5,1,116.0
B02926,PGT-TCR,2023-01-01,Sunday,1,1,Rail Welding,Rail Crane,Low,Fog,22,7.0,MEDIUM,0.0,1.0,1,0.5527486723123296,99.1,-11.9,0,87.2
B14530,UBC-UMB,2023-01-01,Sunday,1,1,Rail Welding,Rail Crane,Low,Clear,2,2.0,LOW,1.0,1.0,1,0.5535018147600483,54.4,30.4,1,84.8
B09776,AG-BHGH,2023-01-02,Monday,1,0,Points Renewal,Rail Crane,Low,Extreme Heat,1,0.0,LOW,0.0,0.8,1,0.5536480686695279,165.1,1.3,0,166.4
B04698,AJJ-TRT,2023-01-02,Monday,1,0,Track Repair,Tamping Machine,Low,Fog,1,2.0,LOW,0.0,0.875,1,0.5378787878787878,165.6,15.2,1,180.7
B03175,AST-PWL,2023-01-02,Monday,1,0,Signal Maintenance,Tower Wagon,Low,Clear,1,1.0,LOW,0.0,1.0,1,0.5514993481095176,117.8,15.5,1,133.3
B05485,BBT-BRPK,2023-01-02,Monday,1,0,Ballast Renewal,Ballast Regulator,Medium,Clear,3,0.0,LOW,0.0,0.0,1,0.5538812785388127,268.0,-16.6,0,251.4
B11287,BNAA-BNJ,2023-01-02,Monday,1,0,Track Repair,Tamping Machine,Low,Clear,0,0.0,LOW,0.0,0.875,1,0.5561782759540966,149.6,2.5,0,152.1
B09659,BSL-KNW,2023-01-02,Monday,1,0,OHE Maintenance,OHE Maintenance Special,Low,Clear,0,10.0,HIGH,0.0,1.0,1,0.5546791728842464,165.2,-9.0,0,156.3
B10066,BWT-KJM,2023-01-02,Monday,1,0,Ballast Renewal,Ballast Regulator,Low,Heavy Rain,23,4.0,MEDIUM,0.0,0.0,1,0.5567984570877531,184.7,50.1,1,234.8
B04017,DI-KOPR,2023-01-02,Monday,1,0,Rail Welding,Rail Crane,Medium,Light Rain,22,15.0,VERY_HIGH,2.0,0.8,1,0.5523247839802496,81.2,7.2,0,88.3
B09870,DNHL-SHBC,2023-01-02,Monday,1,0,Track Stabilization,Dynamic Track Stabilizer,Low,Light Rain,2,0.0,LOW,0.0,1.0,1,0.5527248850952068,139.8,-25.0,0,114.8
B10669,DTE-GGTA,2023-01-02,Monday,1,0,Points Renewal,Rail Crane,Low,Heavy Rain,0,2.0,LOW,0.0,0.8,1,0.5510999371464488,220.0,43.7,1,263.7
B13363,ET-KNW,2023-01-02,Monday,1,0,Rail Welding,Rail Crane,Low,Clear,4,0.0,LOW,0.0,0.8,1,0.5512016100390671,86.9,-5.7,0,81.2
B13952,FLR-ULB,2023-01-02,Monday,1,0,Track Stabilization,Dynamic Track Stabilizer,Medium,Extreme Heat,22,3.0,MEDIUM,0.0,1.0,1,0.5513015057779853,161.6,18.1,1,179.7
B04842,KAN-TIT,2023-01-02,Monday,1,0,Signal Maintenance,Tower Wagon,Low,Fog,0,0.0,LOW,0.0,1.0,1,0.5513920671243325,111.7,22.4,1,134.1
B08967,KHT-RU,2023-01-02,Monday,1,0,Rail Welding,Rail Crane,Low,Clear,4,3.0,MEDIUM,0.0,0.8,1,0.5518924394511465,75.0,-25.0,0,50.0
B05567,ADST-BDC,2023-01-03,Tuesday,1,0,OHE Maintenance,OHE Maintenance Special,Low,Heavy Rain,0,1.0,LOW,0.0,0.8582191780821918,0,0.5721153846153846,182.7,27.6,1,210.3
B09327,ANG-DD,2023-01-03,Tuesday,1,0,Track Stabilization,Dynamic Track Stabilizer,Low,Clear,4,3.0,MEDIUM,0.0,0.8539473684210527,0,0.5489478499542544,166.7,5.0,0,171.7
B03894,ASO-ATG,2023-01-03,Tuesday,1,0,Points Renewal,Rail Crane,Low,Clear,1,0.0,LOW,0.0,0.8550632911392405,0,0.5523613963039015,208.4,27.4,1,235.8
