block_id,section_id,date,maintenance_type,planned_start,planned_end,planned_duration_min,required_asset_type,priority,weather,actual_duration_min,overrun_min,overrun_flag
B09264,KOG-RIS,2023-01-01,Signal Maintenance,00:00,01:39,99.4,Tower Wagon,Medium,Extreme Heat,116.0,16.5,1
B08950,AVD-PRES,2023-01-01,Points Renewal,00:00,02:38,158.2,Rail Crane,Low,Light Rain,195.4,37.3,1
B14530,UBC-UMB,2023-01-01,Rail Welding,02:00,02:54,54.4,Rail Crane,Low,Clear,84.8,30.4,1
B01285,BFZ-PSAE,2023-01-01,Ballast Renewal,00:00,04:00,240.1,Ballast Regulator,Low,Light Rain,262.6,22.5,1
B03149,DHAE-KWAE,2023-01-01,Track Stabilization,22:00,00:08,128.2,Dynamic Track Stabilizer,Low,Light Rain,155.7,27.6,1
B03841,BSD-GURN,2023-01-01,Ballast Renewal,03:00,06:41,221.8,Ballast Regulator,Low,Light Rain,222.0,0.2,0
B12744,ADI-MAN,2023-01-01,Track Stabilization,02:00,05:04,184.3,Dynamic Track Stabilizer,Low,Clear,209.0,24.7,1
B08132,BMG-BT,2023-01-01,Ballast Renewal,01:00,04:30,210.2,Ballast Regulator,Medium,Heavy Rain,226.8,16.7,1
B08111,HYB-LKPL,2023-01-01,Signal Maintenance,01:00,02:56,116.9,Tower Wagon,Low,Heavy Rain,161.6,44.7,1
B07424,GDY-SP,2023-01-01,Points Renewal,04:00,06:59,179.5,Rail Crane,Medium,Heavy Rain,222.2,42.8,1
B02926,PGT-TCR,2023-01-01,Rail Welding,22:00,23:39,99.1,Rail Crane,Low,Fog,87.2,-11.9,0
B04698,AJJ-TRT,2023-01-02,Track Repair,01:00,03:45,165.6,Tamping Machine,Low,Fog,180.7,15.2,1
B09659,BSL-KNW,2023-01-02,OHE Maintenance,00:00,02:45,165.2,OHE Maintenance Special,Low,Clear,156.3,-9.0,0
B09870,DNHL-SHBC,2023-01-02,Track Stabilization,02:00,04:19,139.8,Dynamic Track Stabilizer,Low,Light Rain,114.8,-25.0,0
B09776,AG-BHGH,2023-01-02,Points Renewal,01:00,03:45,165.1,Rail Crane,Low,Extreme Heat,166.4,1.3,0
B03175,AST-PWL,2023-01-02,Signal Maintenance,01:00,02:57,117.8,Tower Wagon,Low,Clear,133.3,15.5,1
B10066,BWT-KJM,2023-01-02,Ballast Renewal,23:00,02:04,184.7,Ballast Regulator,Low,Heavy Rain,234.8,50.1,1
B04842,KAN-TIT,2023-01-02,Signal Maintenance,00:00,01:51,111.7,Tower Wagon,Low,Fog,134.1,22.4,1
B05485,BBT-BRPK,2023-01-02,Ballast Renewal,03:00,07:27,268.0,Ballast Regulator,Medium,Clear,251.4,-16.6,0
B08967,KHT-RU,2023-01-02,Rail Welding,04:00,05:14,75.0,Rail Crane,Low,Clear,50.0,-25.0,0
B10669,DTE-GGTA,2023-01-02,Points Renewal,00:00,03:40,220.0,Rail Crane,Low,Heavy Rain,263.7,43.7,1
B04017,DI-KOPR,2023-01-02,Rail Welding,22:00,23:21,81.2,Rail Crane,Medium,Light Rain,88.3,7.2,0
B13952,FLR-ULB,2023-01-02,Track Stabilization,22:00,00:41,161.6,Dynamic Track Stabilizer,Medium,Extreme Heat,179.7,18.1,1
B13363,ET-KNW,2023-01-02,Rail Welding,04:00,05:26,86.9,Rail Crane,Low,Clear,81.2,-5.7,0
B11287,BNAA-BNJ,2023-01-02,Track Repair,00:00,02:29,149.6,Tamping Machine,Low,Clear,152.1,2.5,0
B02983,MJ-PMY,2023-01-03,OHE Maintenance,00:00,01:56,116.7,OHE Maintenance Special,Low,Clear,139.8,23.1,1
B10009,BGS-KGG,2023-01-03,Signal Maintenance,03:00,04:34,94.7,Tower Wagon,Low,Heavy Rain,143.0,48.3,1
B02704,PV-TBM,2023-01-03,Ballast Renewal,03:00,06:36,216.1,Ballast Regulator,Low,Clear,219.6,3.5,0
B00273,KHN-TLO,2023-01-03,Ballast Renewal,00:00,03:43,223.4,Ballast Regulator,Low,Clear,201.4,-21.9,0
B04658,MJT-NACC,2023-01-03,OHE Maintenance,00:00,02:33,153.6,OHE Maintenance Special,Low,Light Rain,165.7,12.1,1
B05875,PGT-TCR,2023-01-03,Signal Maintenance,22:00,23:23,84.0,Tower Wagon,Low,Clear,78.9,-5.1,0
B03894,ASO-ATG,2023-01-03,Points Renewal,01:00,04:28,208.4,Rail Crane,Low,Clear,235.8,27.4,1
B09327,ANG-DD,2023-01-03,Track Stabilization,04:00,06:46,166.7,Dynamic Track Stabilizer,Low,Clear,171.7,5.0,0
B00431,KGP-TATA,2023-01-03,Points Renewal,00:00,02:59,179.0,Rail Crane,Low,Clear,176.9,-2.1,0
B05567,ADST-BDC,2023-01-03,OHE Maintenance,00:00,03:02,182.7,OHE Maintenance Special,Low,Heavy Rain,210.3,27.6,1
B03383,EGT-KBT,2023-01-03,Rail Welding,02:00,03:32,92.1,Rail Crane,Low,Clear,75.8,-16.3,0
B03726,AST-BVH,2023-01-03,Track Stabilization,01:00,03:40,160.4,Dynamic Track Stabilizer,Low,Fog,177.4,17.0,1
B09459,KCG-VAR,2023-01-03,Rail Welding,04:00,05:32,92.4,Rail Crane,Low,Light Rain,140.9,48.5,1
B13361,BT-KZPR,2023-01-03,Rail Welding,22:00,23:39,99.1,Rail Crane,Low,Clear,137.4,38.3,1
B11006,BZA-WL,2023-01-03,Track Stabilization,02:00,04:40,160.1,Dynamic Track Stabilizer,Low,Clear,195.6,35.5,1
B08599,RU-TPTY,2023-01-03,Signal Maintenance,23:00,00:46,106.9,Tower Wagon,Medium,Clear,151.5,44.6,1
B02282,DIVA-MBQ,2023-01-04,Ballast Renewal,00:00,02:29,149.9,Ballast Regulator,Medium,Clear,157.6,7.7,0
B14094,PV-TBM,2023-01-04,Signal Maintenance,23:00,00:25,85.9,Tower Wagon,Low,Fog,138.2,52.3,1
B05046,DGR-OYR,2023-01-04,Rail Welding,23:00,00:22,82.9,Rail Crane,Low,Clear,57.9,-25.0,0
B02571,KGG-MNE,2023-01-04,Track Stabilization,02:00,04:49,169.2,Dynamic Track Stabilizer,Low,Clear,217.0,47.8,1
B08518,KLVA-MBQ,2023-01-04,Rail Welding,22:00,23:40,100.3,Rail Crane,Medium,Clear,100.2,-0.0,0
B07570,AST-PWL,2023-01-04,OHE Maintenance,03:00,05:48,168.2,OHE Maintenance Special,Low,Light Rain,178.8,10.7,1
B00611,GPD-KVP,2023-01-04,OHE Maintenance,22:00,01:05,185.1,OHE Maintenance Special,Low,Clear,187.6,2.5,0
B10760,KLNT-NDAE,2023-01-04,Track Stabilization,00:00,02:28,148.5,Dynamic Track Stabilizer,Low,Light Rain,147.4,-1.1,0
B00193,GPD-KVP,2023-01-04,Signal Maintenance,02:00,03:30,90.6,Tower Wagon,Low,Clear,81.0,-9.6,0
B03207,JHS-LAR,2023-01-04,Rail Welding,01:00,02:32,92.6,Rail Crane,Low,Clear,107.8,15.2,1
B08780,CGA-FLR,2023-01-04,Track Repair,01:00,04:22,202.7,Tamping Machine,Medium,Clear,200.2,-2.6,0
B12389,EGT-KBT,2023-01-04,Ballast Renewal,01:00,05:17,257.7,Ballast Regulator,Low,Light Rain,298.6,41.0,1
B06231,OKA-TKD,2023-01-05,Rail Welding,01:00,02:34,94.8,Rail Crane,Low,Clear,81.3,-13.5,0
B05780,CHI-RN,2023-01-05,Track Repair,00:00,03:38,218.2,Tamping Machine,Low,Clear,218.3,0.1,0
B10302,KLVA-MBQ,2023-01-05,Track Repair,23:00,01:13,134.0,Tamping Machine,Medium,Clear,159.7,25.8,1
B07981,PLAE-SKG,2023-01-05,Ballast Renewal,22:00,00:33,153.9,Ballast Regulator,Low,Extreme Heat,167.9,14.1,1
B02763,MJ-PMY,2023-01-05,Signal Maintenance,01:00,02:31,91.1,Tower Wagon,Low,Clear,72.6,-18.5,0
B06019,AG-PNCB,2023-01-05,Track Stabilization,01:00,03:46,166.3,Dynamic Track Stabilizer,Low,Clear,167.6,1.3,0
B06092,BNC-SBC,2023-01-05,Ballast Renewal,23:00,02:13,193.3,Ballast Regulator,Low,Light Rain,246.3,53.0,1
B12794,MUG-TLO,2023-01-05,Rail Welding,00:00,01:55,115.8,Rail Crane,Low,Clear,127.9,12.1,1
B05709,MJ-PMY,2023-01-05,Points Renewal,00:00,03:22,202.6,Rail Crane,Low,Clear,223.9,21.3,1
B03801,KOTA-RMA,2023-01-05,Points Renewal,04:00,07:39,219.9,Rail Crane,Low,Fog,233.1,13.2,1
B02952,BMT-SJVP,2023-01-05,Signal Maintenance,22:00,23:28,88.7,Tower Wagon,Low,Clear,80.8,-7.9,0
B04006,KDH-SEP,2023-01-05,Track Repair,03:00,06:10,190.9,Tamping Machine,Medium,Clear,215.8,24.9,1
B07349,KK-SVJR,2023-01-05,Points Renewal,01:00,03:00,120.2,Rail Crane,Low,Extreme Heat,120.6,0.3,0
B12918,KCG-MXT,2023-01-05,Points Renewal,02:00,05:13,193.8,Rail Crane,Medium,Clear,202.0,8.2,0
B06390,CDAE-MDSE,2023-01-05,Rail Welding,03:00,04:25,85.8,Rail Crane,Low,Clear,83.2,-2.6,0
B14995,BHLA-SOAE,2023-01-05,Ballast Renewal,00:00,03:30,210.8,Ballast Regulator,Low,Clear,261.4,50.6,1
B02413,PLAE-RSLR,2023-01-05,OHE Maintenance,00:00,02:13,133.2,OHE Maintenance Special,Low,Heavy Rain,138.8,5.6,0
B06324,MAS-PER,2023-01-06,Track Repair,03:00,05:51,171.8,Tamping Machine,Low,Clear,188.0,16.1,1
B04350,DMLE-KJU,2023-01-06,Rail Welding,04:00,05:38,99.0,Rail Crane,Low,Clear,134.3,35.3,1
B04915,ASN-BURN,2023-01-06,Rail Welding,00:00,01:22,82.6,Rail Crane,Low,Fog,98.8,16.2,1
B08963,ET-KNW,2023-01-06,Signal Maintenance,02:00,03:25,85.7,Tower Wagon,Low,Fog,99.4,13.7,1
B04710,MCA-NDGJ,2023-01-06,OHE Maintenance,00:00,02:50,170.9,OHE Maintenance Special,Low,Clear,206.9,36.0,1
B05449,BMT-SJVP,2023-01-06,Points Renewal,01:00,04:35,216.0,Rail Crane,Low,Clear,204.0,-12.0,0
B10672,MDBP-MPRD,2023-01-06,Points Renewal,02:00,05:02,182.4,Rail Crane,Low,Clear,184.1,1.7,0
B01135,DDC-DDJ,2023-01-06,Signal Maintenance,00:00,01:43,103.1,Tower Wagon,Medium,Clear,90.6,-12.5,0
B12049,CLA-DR,2023-01-07,Track Stabilization,04:00,06:51,171.6,Dynamic Track Stabilizer,Low,Clear,178.1,6.5,0
B05905,LNL-MVL,2023-01-07,Track Stabilization,22:00,00:36,156.8,Dynamic Track Stabilizer,Low,Clear,150.2,-6.7,0
B11947,BZU-GDYA,2023-01-07,Ballast Renewal,00:00,04:01,241.9,Ballast Regulator,Low,Clear,251.9,10.0,1
B12453,BDC-BWN,2023-01-07,Points Renewal,03:00,06:24,204.9,Rail Crane,Low,Clear,238.0,33.1,1
B11668,BSP-R,2023-01-07,OHE Maintenance,01:00,04:08,188.7,OHE Maintenance Special,Low,Fog,233.3,44.6,1
B04829,KOTA-SWM,2023-01-07,Signal Maintenance,00:00,01:37,97.8,Tower Wagon,Low,Clear,72.8,-25.0,0
B10681,BHPA-SNU,2023-01-07,Signal Maintenance,01:00,02:53,113.1,Tower Wagon,Low,Clear,136.8,23.8,1
B13825,BSP-R,2023-01-07,Track Repair,02:00,04:19,139.4,Tamping Machine,Low,Clear,117.4,-22.0,0
B06288,BZA-EE,2023-01-07,Track Repair,23:00,01:48,168.7,Tamping Machine,Medium,Clear,155.5,-13.2,0
B12387,KSWD-PMP,2023-01-07,Track Stabilization,22:00,00:07,127.1,Dynamic Track Stabilizer,Low,Clear,135.8,8.7,0
B01116,BGAE-JIT,2023-01-07,Signal Maintenance,03:00,04:45,105.7,Tower Wagon,Low,Clear,91.1,-14.6,0
B02380,MKK-NBK,2023-01-07,Points Renewal,02:00,05:05,185.4,Rail Crane,Medium,Clear,197.0,11.7,1
B00666,ABKA-GPAE,2023-01-07,Rail Welding,02:00,03:20,80.2,Rail Crane,Low,Clear,72.9,-7.3,0
B02082,KPG-MMR,2023-01-08,Points Renewal,01:00,04:28,208.1,Rail Crane,Low,Clear,183.1,-25.0,0
B07629,CLA-MTN,2023-01-08,Ballast Renewal,01:00,04:54,234.8,Ballast Regulator,High,Extreme Heat,231.5,-3.3,0
B11996,MSB-MTMY,2023-01-08,Points Renewal,23:00,03:31,271.3,Rail Crane,Medium,Heavy Rain,276.5,5.2,0
B01548,KMZA-MPE,2023-01-08,Points Renewal,00:00,03:09,189.1,Rail Crane,Low,Light Rain,186.3,-2.8,0
B14660,SBGR-SPR,2023-01-08,Rail Welding,23:00,00:09,69.7,Rail Crane,Medium,Clear,69.1,-0.6,0
