date,asset_id,available,available_from,available_until,reason_unavailable
2023-01-01,BA349,NO,,,In Use Elsewhere
2023-01-01,DY138,YES,00:00,23:59,
2023-01-01,DY194,YES,00:00,23:59,
2023-01-01,DY216,YES,00:00,23:59,
2023-01-01,DY328,YES,00:00,23:59,
2023-01-01,OH077,YES,00:00,23:59,
2023-01-01,OH080,YES,00:00,23:59,
2023-01-01,OH333,YES,00:00,23:59,
2023-01-01,OH366,YES,00:00,23:59,
2023-01-01,RA031,YES,00:00,23:59,
2023-01-01,RA048,YES,00:00,23:59,
2023-01-01,RA116,YES,00:00,23:59,
2023-01-01,RA241,YES,00:00,23:59,
2023-01-01,RA360,YES,00:00,23:59,
2023-01-01,RA375,YES,00:00,23:59,
2023-01-01,TA063,YES,00:00,23:59,
2023-01-01,TA218,YES,00:00,23:59,
2023-01-01,TA361,YES,00:00,23:59,
2023-01-01,TO038,YES,00:00,23:59,
2023-01-01,TO101,YES,00:00,23:59,
2023-01-01,TO175,YES,00:00,23:59,
2023-01-01,TO228,YES,00:00,23:59,
2023-01-02,BA094,NO,,,In Use Elsewhere
2023-01-02,DY017,YES,00:00,23:59,
2023-01-02,DY070,YES,00:00,23:59,
2023-01-02,DY232,YES,00:00,23:59,
2023-01-02,OH026,YES,00:00,23:59,
2023-01-02,OH189,YES,00:00,23:59,
2023-01-02,OH382,YES,00:00,23:59,
2023-01-02,RA051,YES,00:00,23:59,
2023-01-02,RA085,YES,00:00,23:59,
2023-01-02,RA206,YES,00:00,23:59,
2023-01-02,RA231,YES,00:00,23:59,
2023-01-02,RA307,NO,,,In Use Elsewhere
2023-01-02,TA034,YES,00:00,23:59,
2023-01-02,TA065,YES,00:00,23:59,
2023-01-02,TA075,NO,,,Breakdown
2023-01-02,TA154,YES,00:00,23:59,
2023-01-02,TA211,YES,00:00,23:59,
2023-01-02,TA227,YES,00:00,23:59,
2023-01-02,TA285,YES,00:00,23:59,
2023-01-02,TA302,YES,00:00,23:59,
2023-01-02,TO041,YES,00:00,23:59,
2023-01-02,TO272,YES,00:00,23:59,
2023-01-02,TO284,YES,00:00,23:59,
2023-01-04,BA022,YES,00:00,23:59,
2023-01-04,BA266,YES,00:00,23:59,
2023-01-04,BA358,YES,00:00,23:59,
2023-01-04,DY124,NO,,,In Use Elsewhere
2023-01-04,DY327,YES,00:00,23:59,
2023-01-04,DY389,YES,00:00,23:59,
2023-01-04,OH046,YES,00:00,23:59,
2023-01-04,OH092,YES,00:00,23:59,
2023-01-04,OH312,YES,00:00,23:59,
2023-01-04,OH368,YES,00:00,23:59,
2023-01-04,RA085,YES,00:00,23:59,
2023-01-04,RA252,YES,00:00,23:59,
2023-01-04,RA363,YES,00:00,23:59,
2023-01-04,RA378,YES,00:00,23:59,
2023-01-04,RA387,YES,00:00,23:59,
2023-01-04,TA074,NO,,,Breakdown
2023-01-04,TA089,YES,00:00,23:59,
2023-01-04,TA107,YES,00:00,23:59,
2023-01-04,TA171,YES,00:00,23:59,
2023-01-04,TA199,YES,00:00,23:59,
2023-01-04,TA283,YES,00:00,23:59,
2023-01-04,TA394,YES,00:00,23:59,
2023-01-04,TO038,NO,,,Breakdown
2023-01-04,TO112,YES,00:00,23:59,
2023-01-04,TO123,YES,00:00,23:59,
2023-01-05,BA153,YES,00:00,23:59,
2023-01-05,BA293,YES,00:00,23:59,
2023-01-05,BA383,NO,,,Breakdown
2023-01-05,BA386,YES,00:00,23:59,
2023-01-05,DY219,YES,00:00,23:59,
2023-01-05,DY321,YES,00:00,23:59,
2023-01-05,DY389,YES,00:00,23:59,
2023-01-05,OH082,YES,00:00,23:59,
2023-01-05,OH191,YES,00:00,23:59,
2023-01-05,OH245,YES,00:00,23:59,
2023-01-05,OH382,YES,00:00,23:59,
2023-01-05,OH395,YES,00:00,23:59,
2023-01-05,RA136,NO,,,Breakdown
2023-01-05,RA240,YES,00:00,23:59,
2023-01-05,RA286,YES,00:00,23:59,
2023-01-05,TA049,YES,00:00,23:59,
2023-01-05,TA054,YES,00:00,23:59,
2023-01-05,TA074,YES,00:00,23:59,
2023-01-05,TA108,NO,,,In Use Elsewhere
2023-01-05,TA396,YES,00:00,23:59,
2023-01-05,TO166,YES,00:00,23:59,
2023-01-05,TO179,YES,00:00,23:59,
2023-01-05,TO258,YES,00:00,23:59,
2023-01-05,TO267,YES,00:00,23:59,
2023-01-06,BA079,YES,00:00,23:59,
2023-01-06,BA095,YES,00:00,23:59,
2023-01-06,BA297,YES,00:00,23:59,
2023-01-06,BA304,YES,00:00,23:59,
2023-01-06,BA342,YES,00:00,23:59,
2023-01-06,DY070,YES,00:00,23:59,
2023-01-06,DY161,NO,,,Scheduled Maintenance
2023-01-06,DY169,NO,,,In Use Elsewhere
2023-01-06,DY224,YES,00:00,23:59,
2023-01-06,DY232,NO,,,In Use Elsewhere
2023-01-06,DY380,YES,00:00,23:59,
2023-01-06,OH019,NO,,,Scheduled Maintenance
2023-01-06,OH088,YES,00:00,23:59,
2023-01-06,OH270,YES,00:00,23:59,
2023-01-06,OH296,YES,00:00,23:59,
2023-01-06,OH352,YES,00:00,23:59,
2023-01-06,OH357,NO,,,Breakdown
2023-01-06,OH365,NO,,,In Use Elsewhere
2023-01-06,RA206,YES,00:00,23:59,
2023-01-06,RA278,YES,00:00,23:59,
2023-01-06,RA303,NO,,,In Use Elsewhere
2023-01-06,RA363,NO,,,Breakdown
2023-01-06,TA075,YES,00:00,23:59,
2023-01-06,TA089,YES,00:00,23:59,
2023-01-06,TA131,NO,,,Breakdown
2023-01-06,TA212,YES,00:00,23:59,
2023-01-06,TO041,YES,00:00,23:59,
2023-01-06,TO149,YES,00:00,23:59,
2023-01-06,TO256,NO,,,Scheduled Maintenance
2023-01-06,TO284,NO,,,Breakdown
2023-01-06,TO288,YES,00:00,23:59,
2023-01-09,BA058,YES,00:00,23:59,
2023-01-09,BA188,YES,00:00,23:59,
2023-01-09,BA242,YES,00:00,23:59,
2023-01-09,BA293,YES,00:00,23:59,
2023-01-09,BA332,YES,00:00,23:59,
2023-01-09,BA344,YES,00:00,23:59,
2023-01-09,DY004,YES,00:00,23:59,
2023-01-09,DY055,YES,00:00,23:59,
2023-01-09,DY309,YES,00:00,23:59,
2023-01-09,DY331,YES,00:00,23:59,
2023-01-09,OH082,YES,00:00,23:59,
2023-01-09,OH270,YES,00:00,23:59,
2023-01-09,RA035,YES,00:00,23:59,
2023-01-09,RA391,YES,00:00,23:59,
2023-01-09,TA107,YES,00:00,23:59,
2023-01-09,TA140,YES,00:00,23:59,
2023-01-09,TA222,YES,00:00,23:59,
2023-01-09,TA283,YES,00:00,23:59,
2023-01-09,TO336,YES,00:00,23:59,
2023-01-09,TO364,YES,00:00,23:59,
2023-01-10,DY014,YES,00:00,23:59,
2023-01-10,DY090,NO,,,Scheduled Maintenance
2023-01-10,DY369,YES,00:00,23:59,
2023-01-10,DY389,YES,00:00,23:59,
2023-01-10,OH026,YES,00:00,23:59,
2023-01-10,OH197,YES,00:00,23:59,
2023-01-10,RA035,NO,,,In Use Elsewhere
2023-01-10,RA037,YES,00:00,23:59,
2023-01-10,RA308,YES,00:00,23:59,
2023-01-10,TA027,YES,00:00,23:59,
2023-01-10,TA098,YES,00:00,23:59,
2023-01-10,TA205,YES,00:00,23:59,
2023-01-10,TA341,YES,00:00,23:59,
2023-01-10,TA394,YES,00:00,23:59,
2023-01-10,TO020,YES,00:00,23:59,
2023-01-10,TO109,YES,00:00,23:59,
2023-01-10,TO146,YES,00:00,23:59,
2023-01-10,TO287,YES,00:00,23:59,
2023-01-10,TO316,NO,,,Breakdown
2023-01-10,TO330,YES,00:00,23:59,
2023-01-11,BA230,YES,00:00,23:59,
2023-01-11,BA314,NO,,,Breakdown
2023-01-11,BA383,YES,00:00,23:59,
2023-01-11,BA393,YES,00:00,23:59,
2023-01-11,DY060,YES,00:00,23:59,
2023-01-11,DY105,YES,00:00,23:59,
2023-01-11,DY196,YES,00:00,23:59,
2023-01-11,DY380,YES,00:00,23:59,
2023-01-11,DY398,YES,00:00,23:59,
2023-01-11,OH311,YES,00:00,23:59,
2023-01-11,RA051,YES,00:00,23:59,
2023-01-11,RA081,YES,00:00,23:59,
2023-01-11,RA085,YES,00:00,23:59,
2023-01-11,RA339,YES,00:00,23:59,
2023-01-11,TA078,YES,00:00,23:59,
2023-01-11,TA118,YES,00:00,23:59,
2023-01-11,TA165,YES,00:00,23:59,
2023-01-11,TA199,YES,00:00,23:59,
2023-01-11,TA280,YES,00:00,23:59,
2023-01-11,TA283,YES,00:00,23:59,
2023-01-11,TA292,YES,00:00,23:59,
2023-01-11,TA302,YES,00:00,23:59,
2023-01-11,TO129,NO,,,Breakdown
2023-01-11,TO193,YES,00:00,23:59,
2023-01-11,TO287,YES,00:00,23:59,
2023-01-13,BA016,YES,00:00,23:59,
2023-01-13,BA064,YES,00:00,23:59,
2023-01-13,BA110,YES,00:00,23:59,
2023-01-13,DY012,YES,00:00,23:59,
2023-01-13,DY141,NO,,,Scheduled Maintenance
2023-01-13,DY184,NO,,,Breakdown
2023-01-13,DY356,YES,00:00,23:59,
2023-01-13,OH025,YES,00:00,23:59,
2023-01-13,OH026,YES,00:00,23:59,
2023-01-13,OH046,YES,00:00,23:59,
2023-01-13,OH134,NO,,,Breakdown
2023-01-13,OH160,YES,00:00,23:59,
2023-01-13,OH301,YES,00:00,23:59,
2023-01-13,OH352,YES,00:00,23:59,
2023-01-13,RA024,YES,00:00,23:59,
2023-01-13,RA136,NO,,,Breakdown
2023-01-13,RA163,YES,00:00,23:59,
2023-01-13,RA320,NO,,,Breakdown
2023-01-13,RA367,YES,00:00,23:59,
2023-01-13,RA391,YES,00:00,23:59,
2023-01-13,TA211,YES,00:00,23:59,
2023-01-13,TA282,NO,,,Breakdown
2023-01-13,TO166,YES,00:00,23:59,
2023-01-13,TO335,NO,,,In Use Elsewhere
2023-01-14,BA042,NO,,,Scheduled Maintenance
2023-01-14,BA186,YES,00:00,23:59,
2023-01-14,BA293,YES,00:00,23:59,
2023-01-14,DY143,YES,00:00,23:59,
2023-01-14,DY178,YES,00:00,23:59,
2023-01-14,DY262,YES,00:00,23:59,
2023-01-14,DY371,YES,00:00,23:59,
2023-01-14,OH023,YES,00:00,23:59,
2023-01-14,OH059,YES,00:00,23:59,
2023-01-14,OH213,YES,00:00,23:59,
2023-01-14,OH368,YES,00:00,23:59,
2023-01-14,OH382,YES,00:00,23:59,
2023-01-14,OH384,NO,,,In Use Elsewhere
2023-01-14,RA273,YES,00:00,23:59,
2023-01-14,RA367,NO,,,In Use Elsewhere
2023-01-14,TA108,NO,,,Scheduled Maintenance
2023-01-14,TA220,NO,,,Scheduled Maintenance
2023-01-14,TA226,YES,00:00,23:59,
2023-01-14,TA227,YES,00:00,23:59,
2023-01-14,TA283,YES,00:00,23:59,
2023-01-14,TA285,YES,00:00,23:59,
2023-01-14,TO106,NO,,,In Use Elsewhere
2023-01-14,TO272,YES,00:00,23:59,
2023-01-15,BA117,YES,00:00,23:59,
2023-01-15,BA126,YES,00:00,23:59,
2023-01-15,BA249,NO,,,Breakdown
2023-01-15,BA393,YES,00:00,23:59,
2023-01-15,DY070,NO,,,In Use Elsewhere
2023-01-15,DY124,YES,00:00,23:59,
2023-01-15,DY219,YES,00:00,23:59,
2023-01-15,DY309,YES,00:00,23:59,
2023-01-15,DY327,YES,00:00,23:59,
2023-01-15,OH046,YES,00:00,23:59,
2023-01-15,OH384,YES,00:00,23:59,
2023-01-15,RA276,YES,00:00,23:59,
2023-01-15,RA329,YES,00:00,23:59,
2023-01-15,RA337,YES,00:00,23:59,
2023-01-15,RA370,YES,00:00,23:59,
2023-01-15,TA005,YES,00:00,23:59,
2023-01-15,TA063,YES,00:00,23:59,
2023-01-15,TA068,YES,00:00,23:59,
2023-01-15,TA120,YES,00:00,23:59,
2023-01-15,TA165,YES,00:00,23:59,
2023-01-15,TA325,NO,,,In Use Elsewhere
2023-01-15,TO100,YES,00:00,23:59,
2023-01-17,BA355,YES,00:00,23:59,
2023-01-17,DY012,YES,00:00,23:59,
2023-01-17,DY070,YES,00:00,23:59,
2023-01-17,DY371,YES,00:00,23:59,
2023-01-17,OH221,YES,00:00,23:59,
2023-01-17,OH239,YES,00:00,23:59,
2023-01-17,RA031,YES,00:00,23:59,
2023-01-17,RA039,NO,,,Breakdown
2023-01-17,RA062,YES,00:00,23:59,
2023-01-17,RA200,YES,00:00,23:59,
2023-01-17,RA268,YES,00:00,23:59,
2023-01-17,RA354,YES,00:00,23:59,
2023-01-17,TA107,YES,00:00,23:59,
2023-01-17,TA120,NO,,,Scheduled Maintenance
2023-01-17,TA325,YES,00:00,23:59,
2023-01-17,TO149,YES,00:00,23:59,
2023-01-17,TO317,YES,00:00,23:59,
2023-01-17,TO364,YES,00:00,23:59,
2023-01-18,BA058,YES,00:00,23:59,
2023-01-18,BA127,YES,00:00,23:59,
2023-01-18,BA274,YES,00:00,23:59,
2023-01-18,BA304,YES,00:00,23:59,
2023-01-18,DY004,YES,00:00,23:59,
2023-01-18,DY012,YES,00:00,23:59,
2023-01-18,DY167,YES,00:00,23:59,
2023-01-18,DY194,YES,00:00,23:59,
2023-01-18,DY236,YES,00:00,23:59,
2023-01-18,DY328,YES,00:00,23:59,
2023-01-18,OH183,YES,00:00,23:59,
2023-01-18,OH195,YES,00:00,23:59,
2023-01-18,OH197,YES,00:00,23:59,
2023-01-18,OH221,YES,00:00,23:59,
2023-01-18,OH343,YES,00:00,23:59,
2023-01-18,RA119,YES,00:00,23:59,
2023-01-18,RA204,YES,00:00,23:59,
2023-01-18,RA238,YES,00:00,23:59,
2023-01-18,RA278,YES,00:00,23:59,
2023-01-18,RA290,YES,00:00,23:59,
2023-01-18,RA367,YES,00:00,23:59,
2023-01-18,RA373,YES,00:00,23:59,
2023-01-18,RA375,YES,00:00,23:59,
2023-01-18,TA036,YES,00:00,23:59,
2023-01-18,TA074,NO,,,Scheduled Maintenance
2023-01-18,TA150,YES,00:00,23:59,
2023-01-18,TO009,YES,00:00,23:59,
2023-01-18,TO175,YES,00:00,23:59,
2023-01-18,TO202,YES,00:00,23:59,
2023-01-18,TO257,YES,00:00,23:59,
2023-01-18,TO272,NO,,,Breakdown
2023-01-19,BA016,YES,00:00,23:59,
2023-01-19,BA377,YES,00:00,23:59,
2023-01-19,DY248,YES,00:00,23:59,
2023-01-19,OH025,YES,00:00,23:59,
2023-01-19,OH052,YES,00:00,23:59,
2023-01-19,OH195,YES,00:00,23:59,
2023-01-19,OH333,YES,00:00,23:59,
2023-01-19,OH359,YES,00:00,23:59,
2023-01-19,OH365,YES,00:00,23:59,
2023-01-19,TA003,YES,00:00,23:59,
2023-01-19,TA049,YES,00:00,23:59,
2023-01-19,TO056,YES,00:00,23:59,
2023-01-19,TO256,YES,00:00,23:59,
2023-01-19,TO272,YES,00:00,23:59,
2023-01-19,TO284,YES,00:00,23:59,
2023-01-20,BA249,NO,,,Breakdown
2023-01-20,BA259,YES,00:00,23:59,
2023-01-20,BA266,NO,,,Scheduled Maintenance
2023-01-20,BA300,YES,00:00,23:59,
2023-01-20,BA358,YES,00:00,23:59,
2023-01-20,DY371,YES,00:00,23:59,
2023-01-20,DY379,YES,00:00,23:59,
2023-01-20,OH189,YES,00:00,23:59,
2023-01-20,OH333,NO,,,Scheduled Maintenance
2023-01-20,OH357,YES,00:00,23:59,
2023-01-20,RA053,YES,00:00,23:59,
2023-01-20,RA308,YES,00:00,23:59,
2023-01-20,RA334,YES,00:00,23:59,
2023-01-20,RA354,YES,00:00,23:59,
2023-01-20,RA391,YES,00:00,23:59,
2023-01-20,TA118,YES,00:00,23:59,
2023-01-20,TA220,YES,00:00,23:59,
2023-01-20,TA289,YES,00:00,23:59,
2023-01-20,TO009,YES,00:00,23:59,
