block_id,section_id,optimizer_score,optimizer_hour,midnight_score,as_scheduled_score,as_scheduled_hour
B12943,CDNR-HFZ,0.0,0,0.0,0.0,1
B09720,HIH-SHBC,0.0,0,0.0,87.17208671569824,22
B09390,DBSI-VVKP,0.0,1,117.92385654449463,117.92385654449463,0
B13175,TK-YPR,0.0,0,0.0,419.03874588012695,1
B01691,KYJ-QLN,0.0,3,475.6705665588379,469.9461078643799,22
B11752,KAWR-MAO,0.0,4,186.2826442718506,0.0,22
B10108,DKAE-GBRA,0.0,0,0.0,0.0,0
B13773,HRO-KMZA,0.0,0,0.0,0.0,0
B02003,ASO-VSD,0.0,1,96.16292972564698,0.0,3
B11669,CKP-ROU,0.0,7,174.5644380569458,1017.9892313003539,1
B06059,CTC-JJKR,0.0,9,803.0608739852905,162.42803840637208,22
B01359,RU-TPTY,157.2867486000061,23,160.7230255126953,160.7230255126953,0
B06645,RPM-WST,0.0,0,0.0,577.1757988929749,4
B10810,KJU-TBAE,0.0,2,93.51005744934082,190.19881057739258,22
B04813,TGN-VDN,0.0,1,818.3765724182128,614.9548049926757,22
B00841,DPA-JP,0.0,1,327.1239295959473,163.49921684265138,4
B13941,PLAE-RSLR,0.0,0,0.0,0.0,2
B04674,BLN-LKF,0.0,1,99.4884386062622,0.0,2
B13906,AVD-PRES,0.0,1,112.49118156433106,333.8758255004883,22
B06693,AGAE-PTAE,0.0,1,222.80969848632813,217.40958251953126,22
B14442,HAUR-KHAI,0.0,0,0.0,0.0,23
B08660,CDAE-PBZ,0.0,1,207.67668781280517,616.1935403823852,22
B13390,BEQ-BLY,0.0,0,0.0,0.0,1
B10635,AGAE-PTAE,0.0,1,243.27604160308837,242.09656009674072,22
B09768,CTC-JJKR,0.0,9,692.8660516738892,1224.672213935852,23
B14824,AJJ-MAS,0.0,0,0.0,1286.079370880127,4
B06445,BBS-CTC,218.83904685974122,8,980.7699926376343,980.7699926376343,0
B04094,ADI-SBI,0.0,5,283.74349937438967,141.97891597747804,22
B14576,RK-SRE,0.0,16,547.9177177429199,407.06657466888424,1
B02813,KCG-MXT,0.0,0,0.0,548.1962677001953,22
B10419,GWL-MRA,0.0,1,300.47279777526853,300.47279777526853,0
B09563,BZA-EE,363.0150493621826,13,367.7213024139404,1092.3713733673094,2
B01019,BSBP-KGY,0.0,2,199.7099811553955,0.0,2
B02876,BIJ-THP,0.0,0,0.0,460.41898345947266,1
B02966,ADL-SEL,0.0,2,217.09136505126952,433.19665184020994,22
B02724,BZA-RJY,0.0,0,0.0,0.0,3
B10388,JGDL-SNR,0.0,1,767.3757888793946,0.0,1
B04469,CAN-TLY,0.0,2,393.72229919433596,0.0,2
B06747,GADJ-JP,0.0,2,170.0119686126709,336.4022026062012,3
B01206,KLNP-RHA,0.0,2,121.4669261932373,120.87015495300292,1
B10336,BTNR-FNB,0.0,0,0.0,411.4901701927185,4
